workflow_T,cjm_status,vma_status
704,SUCCESS,SUCCESS
705,SUCCESS,SUCCESS
706,SUCCESS,SUCCESS
707,SUCCESS,SUCCESS
708,SUCCESS,SUCCESS
709,SUCCESS,SUCCESS
710,SUCCESS,SUCCESS
711,SUCCESS,SUCCESS
712,SUCCESS,SUCCESS
713,SUCCESS,SUCCESS
714,SUCCESS,SUCCESS
715,SUCCESS,SUCCESS
716,SUCCESS,SUCCESS
717,SUCCESS,SUCCESS
718,SUCCESS,SUCCESS
719,SUCCESS,SUCCESS
720,SUCCESS,SUCCESS
721,SUCCESS,SUCCESS
722,SUCCESS,SUCCESS
723,SUCCESS,SUCCESS
724,SUCCESS,SUCCESS
725,SUCCESS,SUCCESS
726,SUCCESS,SUCCESS
727,SUCCESS,SUCCESS
728,SUCCESS,SUCCESS
729,SUCCESS,SUCCESS
730,SUCCESS,SUCCESS
731,SUCCESS,SUCCESS
732,SUCCESS,SUCCESS
733,SUCCESS,SUCCESS
734,SUCCESS,SUCCESS
735,SUCCESS,SUCCESS
736,SUCCESS,SUCCESS
737,SUCCESS,SUCCESS
738,SUCCESS,SUCCESS
739,SUCCESS,SUCCESS
740,SUCCESS,SUCCESS
741,SUCCESS,SUCCESS
742,SUCCESS,SUCCESS
743,SUCCESS,SUCCESS
744,SUCCESS,SUCCESS
745,SUCCESS,SUCCESS
746,SUCCESS,SUCCESS
747,SUCCESS,SUCCESS
748,SUCCESS,SUCCESS
749,SUCCESS,SUCCESS
750,SUCCESS,SUCCESS
751,SUCCESS,SUCCESS
752,SUCCESS,SUCCESS
753,SUCCESS,SUCCESS
754,SUCCESS,SUCCESS
755,SUCCESS,SUCCESS
756,SUCCESS,SUCCESS
757,SUCCESS,SUCCESS
758,SUCCESS,SUCCESS
759,SUCCESS,SUCCESS
760,SUCCESS,SUCCESS
761,SUCCESS,SUCCESS
762,SUCCESS,SUCCESS
763,SUCCESS,SUCCESS
764,SUCCESS,SUCCESS
765,SUCCESS,SUCCESS
766,SUCCESS,SUCCESS
767,SUCCESS,SUCCESS
768,SUCCESS,SUCCESS
769,SUCCESS,SUCCESS
770,SUCCESS,SUCCESS
771,SUCCESS,SUCCESS
772,SUCCESS,SUCCESS
773,SUCCESS,SUCCESS
774,SUCCESS,SUCCESS
775,SUCCESS,SUCCESS
776,SUCCESS,SUCCESS
777,SUCCESS,SUCCESS
778,SUCCESS,SUCCESS
779,SUCCESS,SUCCESS
780,SUCCESS,SUCCESS
781,SUCCESS,SUCCESS
782,SUCCESS,SUCCESS
783,SUCCESS,SUCCESS
784,SUCCESS,SUCCESS
785,SUCCESS,SUCCESS
786,SUCCESS,SUCCESS
787,SUCCESS,SUCCESS
788,SUCCESS,SUCCESS
789,SUCCESS,SUCCESS
790,SUCCESS,SUCCESS
791,SUCCESS,SUCCESS
792,SUCCESS,SUCCESS
793,SUCCESS,SUCCESS
794,SUCCESS,SUCCESS
803,SUCCESS,SUCCESS
804,SUCCESS,SUCCESS
805,SUCCESS,SUCCESS
806,SUCCESS,SUCCESS
807,SUCCESS,SUCCESS
808,SUCCESS,SUCCESS
809,SUCCESS,SUCCESS
810,SUCCESS,SUCCESS
811,SUCCESS,SUCCESS
812,SUCCESS,SUCCESS
813,SUCCESS,SUCCESS
814,SUCCESS,SUCCESS
815,SUCCESS,SUCCESS
816,SUCCESS,SUCCESS
817,SUCCESS,SUCCESS
818,SUCCESS,SUCCESS
819,SUCCESS,SUCCESS
820,SUCCESS,SUCCESS
821,SUCCESS,SUCCESS
822,SUCCESS,SUCCESS
823,SUCCESS,SUCCESS
824,SUCCESS,SUCCESS
825,SUCCESS,SUCCESS
826,SUCCESS,SUCCESS
827,SUCCESS,SUCCESS
828,SUCCESS,SUCCESS
829,SUCCESS,SUCCESS
830,SUCCESS,SUCCESS
831,SUCCESS,SUCCESS
832,SUCCESS,SUCCESS
833,SUCCESS,SUCCESS
834,SUCCESS,SUCCESS
835,SUCCESS,SUCCESS
851,SUCCESS,SUCCESS
852,SUCCESS,SUCCESS
853,SUCCESS,SUCCESS
854,SUCCESS,SUCCESS
855,SUCCESS,SUCCESS
856,SUCCESS,SUCCESS
857,SUCCESS,SUCCESS
858,SUCCESS,SUCCESS
859,SUCCESS,SUCCESS
860,SUCCESS,SUCCESS
861,SUCCESS,SUCCESS
862,SUCCESS,SUCCESS
863,SUCCESS,SUCCESS
864,SUCCESS,SUCCESS
865,SUCCESS,SUCCESS
866,SUCCESS,SUCCESS
867,SUCCESS,SUCCESS
868,SUCCESS,SUCCESS
890,SUCCESS,SUCCESS
891,SUCCESS,SUCCESS
892,SUCCESS,SUCCESS
893,SUCCESS,SUCCESS
894,SUCCESS,SUCCESS
895,SUCCESS,SUCCESS
896,SUCCESS,SUCCESS
897,SUCCESS,SUCCESS
898,SUCCESS,SUCCESS
899,SUCCESS,SUCCESS
900,SUCCESS,SUCCESS
901,SUCCESS,SUCCESS
902,SUCCESS,SUCCESS
903,SUCCESS,SUCCESS
904,SUCCESS,SUCCESS
905,SUCCESS,SUCCESS
906,SUCCESS,SUCCESS
907,SUCCESS,SUCCESS
908,SUCCESS,SUCCESS
909,SUCCESS,SUCCESS
910,SUCCESS,SUCCESS
911,SUCCESS,SUCCESS
912,SUCCESS,SUCCESS
913,SUCCESS,SUCCESS
914,SUCCESS,SUCCESS
915,SUCCESS,SUCCESS
916,SUCCESS,SUCCESS
917,SUCCESS,SUCCESS
918,SUCCESS,SUCCESS
919,SUCCESS,SUCCESS
920,SUCCESS,SUCCESS
921,SUCCESS,SUCCESS
922,SUCCESS,SUCCESS
923,SUCCESS,SUCCESS
924,SUCCESS,SUCCESS
925,SUCCESS,SUCCESS
926,SUCCESS,SUCCESS
927,SUCCESS,SUCCESS
928,SUCCESS,SUCCESS
929,SUCCESS,SUCCESS
930,SUCCESS,SUCCESS
931,SUCCESS,SUCCESS
932,SUCCESS,SUCCESS
933,SUCCESS,SUCCESS
934,SUCCESS,SUCCESS
935,SUCCESS,SUCCESS
936,SUCCESS,SUCCESS
937,SUCCESS,SUCCESS
938,SUCCESS,SUCCESS
939,SUCCESS,SUCCESS
957,SUCCESS,SUCCESS
959,SUCCESS,SUCCESS
960,SUCCESS,SUCCESS
961,SUCCESS,SUCCESS
962,SUCCESS,SUCCESS
963,SUCCESS,SUCCESS
964,SUCCESS,SUCCESS
965,SUCCESS,SUCCESS
966,SUCCESS,SUCCESS
967,SUCCESS,SUCCESS
968,SUCCESS,SUCCESS
969,SUCCESS,SUCCESS
970,SUCCESS,SUCCESS
971,SUCCESS,SUCCESS
972,SUCCESS,SUCCESS
973,SUCCESS,SUCCESS
974,SUCCESS,SUCCESS
975,SUCCESS,SUCCESS
976,SUCCESS,SUCCESS
977,SUCCESS,SUCCESS
978,SUCCESS,SUCCESS
979,SUCCESS,SUCCESS
980,SUCCESS,SUCCESS
981,SUCCESS,SUCCESS
982,SUCCESS,SUCCESS
983,SUCCESS,SUCCESS
984,SUCCESS,SUCCESS
985,SUCCESS,SUCCESS
986,SUCCESS,SUCCESS
987,SUCCESS,SUCCESS
1025,SUCCESS,SUCCESS
1026,SUCCESS,SUCCESS
1027,SUCCESS,SUCCESS
1028,SUCCESS,SUCCESS
1029,SUCCESS,SUCCESS
1030,SUCCESS,SUCCESS
1031,SUCCESS,SUCCESS
1032,SUCCESS,SUCCESS
1033,SUCCESS,SUCCESS
1034,SUCCESS,SUCCESS
1035,SUCCESS,SUCCESS
1036,SUCCESS,SUCCESS
1037,SUCCESS,SUCCESS
1038,SUCCESS,SUCCESS
1039,SUCCESS,SUCCESS
1040,SUCCESS,SUCCESS
1041,SUCCESS,SUCCESS
1042,SUCCESS,SUCCESS
1043,SUCCESS,SUCCESS
1044,SUCCESS,SUCCESS
1045,SUCCESS,SUCCESS
1046,SUCCESS,SUCCESS
1047,SUCCESS,SUCCESS
1048,SUCCESS,SUCCESS
1049,SUCCESS,SUCCESS
1050,SUCCESS,SUCCESS
1071,SUCCESS,SUCCESS
1072,SUCCESS,SUCCESS
1073,SUCCESS,SUCCESS
1074,SUCCESS,SUCCESS
1075,SUCCESS,SUCCESS
1076,SUCCESS,SUCCESS
1077,SUCCESS,SUCCESS
1078,SUCCESS,SUCCESS
1079,SUCCESS,SUCCESS
1080,SUCCESS,SUCCESS
1081,SUCCESS,SUCCESS
1082,SUCCESS,SUCCESS
1083,SUCCESS,SUCCESS
1084,SUCCESS,SUCCESS
1085,SUCCESS,SUCCESS
1086,SUCCESS,SUCCESS
1087,SUCCESS,SUCCESS
1088,SUCCESS,SUCCESS
1089,SUCCESS,SUCCESS
1090,SUCCESS,SUCCESS
1091,SUCCESS,SUCCESS
1092,SUCCESS,SUCCESS
1093,SUCCESS,SUCCESS
1094,SUCCESS,SUCCESS
1095,SUCCESS,SUCCESS
1096,SUCCESS,SUCCESS
1097,SUCCESS,SUCCESS
1098,SUCCESS,SUCCESS
1099,SUCCESS,SUCCESS
1100,SUCCESS,SUCCESS
1101,SUCCESS,SUCCESS
1102,SUCCESS,SUCCESS
1103,SUCCESS,SUCCESS
1104,SUCCESS,SUCCESS
1105,SUCCESS,SUCCESS
1106,SUCCESS,SUCCESS
1107,SUCCESS,SUCCESS
1108,SUCCESS,SUCCESS
1109,SUCCESS,SUCCESS
1110,SUCCESS,SUCCESS
1111,SUCCESS,SUCCESS
1112,SUCCESS,SUCCESS
1113,SUCCESS,SUCCESS
1114,SUCCESS,SUCCESS
1115,SUCCESS,SUCCESS
1116,SUCCESS,SUCCESS
1117,SUCCESS,SUCCESS
1118,SUCCESS,SUCCESS
1119,SUCCESS,SUCCESS
1120,SUCCESS,SUCCESS
1121,SUCCESS,SUCCESS
1122,SUCCESS,SUCCESS
1123,SUCCESS,SUCCESS
1124,SUCCESS,SUCCESS
1125,SUCCESS,SUCCESS
1126,SUCCESS,SUCCESS
1127,SUCCESS,SUCCESS
1128,SUCCESS,SUCCESS
1129,SUCCESS,SUCCESS
1130,SUCCESS,SUCCESS
1131,SUCCESS,SUCCESS
1132,SUCCESS,SUCCESS
1133,SUCCESS,SUCCESS
1134,SUCCESS,SUCCESS
1135,SUCCESS,SUCCESS
1136,SUCCESS,SUCCESS
1137,SUCCESS,SUCCESS
1138,SUCCESS,SUCCESS
1139,SUCCESS,SUCCESS
1140,SUCCESS,SUCCESS
1141,SUCCESS,SUCCESS
1142,SUCCESS,SUCCESS
1143,SUCCESS,SUCCESS
1144,SUCCESS,SUCCESS
1145,SUCCESS,SUCCESS
1146,SUCCESS,SUCCESS
1147,SUCCESS,SUCCESS
1148,SUCCESS,SUCCESS
1149,SUCCESS,SUCCESS
1150,SUCCESS,SUCCESS
1151,SUCCESS,SUCCESS
1152,SUCCESS,SUCCESS
1153,SUCCESS,SUCCESS
1154,SUCCESS,SUCCESS
1155,SUCCESS,SUCCESS
1156,SUCCESS,SUCCESS
1157,SUCCESS,SUCCESS
1158,SUCCESS,SUCCESS
1159,SUCCESS,SUCCESS
1160,SUCCESS,SUCCESS
1161,SUCCESS,SUCCESS
1162,SUCCESS,SUCCESS
1163,SUCCESS,SUCCESS
1164,SUCCESS,SUCCESS
1165,SUCCESS,SUCCESS
1166,SUCCESS,SUCCESS
1167,SUCCESS,SUCCESS
1168,SUCCESS,SUCCESS
1169,SUCCESS,SUCCESS
1170,SUCCESS,SUCCESS
1171,SUCCESS,SUCCESS
1172,SUCCESS,SUCCESS
1173,SUCCESS,SUCCESS
1174,SUCCESS,SUCCESS
1175,SUCCESS,SUCCESS
1176,SUCCESS,SUCCESS
1177,SUCCESS,SUCCESS
1178,SUCCESS,SUCCESS
1179,SUCCESS,SUCCESS
1180,SUCCESS,SUCCESS
1181,SUCCESS,SUCCESS
1182,SUCCESS,SUCCESS
1183,SUCCESS,SUCCESS
1184,SUCCESS,SUCCESS
1185,SUCCESS,SUCCESS
1186,SUCCESS,SUCCESS
1187,SUCCESS,SUCCESS
1188,SUCCESS,SUCCESS
1189,SUCCESS,SUCCESS
1190,SUCCESS,SUCCESS
1191,SUCCESS,SUCCESS
1192,SUCCESS,SUCCESS
1193,SUCCESS,SUCCESS
1194,SUCCESS,SUCCESS
1195,SUCCESS,SUCCESS
1196,SUCCESS,SUCCESS
1197,SUCCESS,SUCCESS
1198,SUCCESS,SUCCESS
1199,SUCCESS,SUCCESS
1200,SUCCESS,SUCCESS
1201,SUCCESS,SUCCESS
1202,SUCCESS,SUCCESS
1203,SUCCESS,SUCCESS
1204,SUCCESS,SUCCESS
1205,SUCCESS,SUCCESS
1206,SUCCESS,SUCCESS
1207,SUCCESS,SUCCESS
1208,SUCCESS,SUCCESS
1209,SUCCESS,SUCCESS
1210,SUCCESS,SUCCESS
1211,SUCCESS,SUCCESS
1212,SUCCESS,SUCCESS
1213,SUCCESS,SUCCESS
1214,SUCCESS,SUCCESS
1215,SUCCESS,SUCCESS
1216,SUCCESS,SUCCESS
1217,SUCCESS,SUCCESS
1218,SUCCESS,SUCCESS
1219,SUCCESS,SUCCESS
1220,SUCCESS,SUCCESS
1221,SUCCESS,SUCCESS
1222,SUCCESS,SUCCESS
1223,SUCCESS,SUCCESS
1224,SUCCESS,SUCCESS
1225,SUCCESS,SUCCESS
1226,SUCCESS,SUCCESS
