workflow_T,cjm_status,vma_status
164,SUCCESS,SUCCESS
164,SUCCESS,SUCCESS
165,SUCCESS,SUCCESS
165,SUCCESS,SUCCESS
166,SUCCESS,SUCCESS
166,SUCCESS,SUCCESS
167,SUCCESS,SUCCESS
167,SUCCESS,SUCCESS
168,SUCCESS,SUCCESS
168,SUCCESS,SUCCESS
169,SUCCESS,SUCCESS
169,SUCCESS,SUCCESS
170,SUCCESS,SUCCESS
170,SUCCESS,SUCCESS
171,SUCCESS,SUCCESS
171,SUCCESS,SUCCESS
172,SUCCESS,SUCCESS
172,SUCCESS,SUCCESS
173,SUCCESS,SUCCESS
173,SUCCESS,SUCCESS
174,SUCCESS,SUCCESS
174,SUCCESS,SUCCESS
175,SUCCESS,SUCCESS
175,SUCCESS,SUCCESS
176,SUCCESS,SUCCESS
176,SUCCESS,SUCCESS
177,SUCCESS,SUCCESS
177,SUCCESS,SUCCESS
178,SUCCESS,SUCCESS
178,SUCCESS,SUCCESS
179,SUCCESS,SUCCESS
179,SUCCESS,SUCCESS
180,SUCCESS,SUCCESS
180,SUCCESS,SUCCESS
181,SUCCESS,SUCCESS
181,SUCCESS,SUCCESS
182,SUCCESS,SUCCESS
182,SUCCESS,SUCCESS
183,SUCCESS,SUCCESS
183,SUCCESS,SUCCESS
184,SUCCESS,SUCCESS
184,SUCCESS,SUCCESS
185,SUCCESS,SUCCESS
185,SUCCESS,SUCCESS
186,SUCCESS,SUCCESS
186,SUCCESS,SUCCESS
187,SUCCESS,SUCCESS
187,SUCCESS,SUCCESS
188,SUCCESS,SUCCESS
188,SUCCESS,SUCCESS
189,SUCCESS,SUCCESS
189,SUCCESS,SUCCESS
190,SUCCESS,SUCCESS
190,SUCCESS,SUCCESS
191,SUCCESS,SUCCESS
191,SUCCESS,SUCCESS
192,SUCCESS,SUCCESS
192,SUCCESS,SUCCESS
193,SUCCESS,SUCCESS
193,SUCCESS,SUCCESS
194,SUCCESS,SUCCESS
194,SUCCESS,SUCCESS
195,SUCCESS,SUCCESS
195,SUCCESS,SUCCESS
196,SUCCESS,SUCCESS
196,SUCCESS,SUCCESS
197,SUCCESS,SUCCESS
197,SUCCESS,SUCCESS
198,SUCCESS,SUCCESS
198,SUCCESS,SUCCESS
199,SUCCESS,SUCCESS
199,SUCCESS,SUCCESS
200,SUCCESS,SUCCESS
200,SUCCESS,SUCCESS
